index,code_name,y_real,y_hat,alpha,beta
602,stock100214,0.10656992234000333,0.10976334547054652,0.09321578241528101,-0.3978880139063511
602,stock102177,0.4050609007648004,0.4447045988561448,0.3090125620260082,-1.3319260713039345
602,stock100405,0.11937887083744728,0.1153185291347961,0.052187168104957556,-1.0715164076909514
602,stock103382,0.16079520537933073,0.20346468720020827,0.13381413060908742,-0.6836760238235313
602,stock100539,0.0611189468735306,0.047071804108983595,0.02633481670949533,-0.4398964817065644
602,stock100387,-0.3506023445518882,-0.3434796873902889,-0.36872154193476087,-0.4284251260188503
602,stock102090,0.45284165738020477,0.3946845635047271,0.40496527836860924,0.21808617669130392
602,stock101299,0.18356009983093144,0.1372471378223723,0.2721120886375613,2.188807660293324
602,stock101174,0.003913128546272661,0.0010934407365836406,-0.010818553644546718,-0.19774223621118311
602,stock102109,0.13573810530271008,0.16893932970675127,0.04767365704231794,-1.1589864675235741
602,stock101483,0.24813742996120935,0.26443206955736553,0.2458796394283911,-0.16644352278892657
602,stock102269,-0.04853527474432317,0.04334806810108538,0.031334483509283355,-0.15775369977902137
602,stock100777,-0.05583690429814329,0.020777164149725694,0.02910400061093711,0.14132978834608392
602,stock102368,-0.005912349419850719,0.01861549361463719,0.015840687033965323,-0.024894236449575707
602,stock102834,0.3469179521037153,0.08215079832919917,0.162445638396183,1.332915439938112
602,stock100046,0.05994485073732167,0.06267932742916886,0.027426717869527325,-0.5983357390192384
602,stock100381,-0.018858263291328833,-0.068257950597975,-0.05013127405299587,0.2798555983714358
602,stock102253,0.2787944512222675,0.30490548835996084,0.23448032610465205,-0.9247722707920257
602,stock100339,0.02014283098333628,0.0061728851977354005,-0.091148199835415,-0.8731181910913195
602,stock102711,0.1442343621552948,0.18067557920001326,0.19680467117467962,0.2490151283142111
602,stock102906,0.16496818872811211,0.1609961887680886,0.1302463089408357,-0.7393843172835891
